source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s102cadeau_neut_bmpnaming,s102,cadeau,ok,626.991,298.5397365,neut,6,925,FALSE,298.009,kado,4
s102cadeau_ov2_bmpnaming,s102,cadeau,ok,1072.165,289.7591561,ov2,6,1360,FALSE,287.835,kado,4
s102canard_neut_bmpnaming,s102,canard,ok,674.993,520.6884228,neut,6,1193,FALSE,518.007,kanaʀ,5
s102canard_ov2_bmpnaming,s102,canard,ok,540.576,483.8099848,ov2,6,1023,FALSE,482.424,kanaʀ,5
s102canon_neut_bmpnaming,s102,canon,ok,752.267,325.759536,neut,5,1073,FALSE,320.733,kanɔ̃,4
s102canon_ov2_bmpnaming,s102,canon,ok,657.723,344.1987551,ov2,5,1001,FALSE,343.277,kanɔ̃,4
s102cerveau_neut_bmpnaming,s102,cerveau,ok,564.649,436.3948502,neut,7,1000,FALSE,435.351,sɛʀvo,5
s102cerveau_ov2_bmpnaming,s102,cerveau,ok,626.479,525.0030765,ov2,7,1149,FALSE,522.521,sɛʀvo,5
s102chapeau_neut_bmpnaming,s102,chapeau,ok,525.621,434.4450863,neut,7,960,FALSE,434.379,ʃapo,4
s102chapeau_ov2_bmpnaming,s102,chapeau,ok,512.011,450.6891602,ov2,7,960,FALSE,447.989,ʃapo,4
s102chaussette_neut_bmpnaming,s102,chaussette,ok,531.283,626.0553887,neut,10,1096,FALSE,564.717,ʃosɛt,5
s102chaussette_ov2_bmpnaming,s102,chaussette,ok,468.723,635.7140272,ov2,10,1026,FALSE,557.277,ʃosɛt,5
s102chaussure_ov2_bmpnaming,s102,chaussure,ok,467.479,585.6647184,ov2,9,1123,FALSE,655.521,ʃosyʀ,5
s102cheval_neut_bmpnaming,s102,cheval,ok,806.921,481.8343542,neut,6,1298,FALSE,491.079,ʃəval,5
s102cheval_ov2_bmpnaming,s102,cheval,ok,697.272,497.6920045,ov2,6,1196,FALSE,498.728,ʃəval,5
s102citron_neut_bmpnaming,s102,citron,ok,484.892,482.8747749,neut,6,967,FALSE,482.108,sitʀɔ̃,5
s102citron_ov2_bmpnaming,s102,citron,ok,468.428,479.5820573,ov2,6,941,FALSE,472.572,sitʀɔ̃,5
s102citrouille_neut_bmpnaming,s102,citrouille,ok,603.467,626.7139322,neut,10,1234,FALSE,630.533,sitʀujl,7
